No,R,I,A,S,E,C,Group
227,0.108,0.092,0.529,0.261,0.204,0.099,4
228,0.108,0.091,0.464,0.662,0.35,0.392,21
229,0.108,0.6,0.418,0.749,0.764,0.602,48
230,0.108,0.329,0.543,0.31,0.219,0.357,67
231,0.109,0.119,0.137,0.132,0.14,0.252,16
232,0.109,0.265,0.502,0.475,0.474,0.478,20
233,0.109,0.38,0.359,0.399,0.584,0.742,27
234,0.109,0.116,0.288,0.358,0.273,0.289,35
235,0.109,0.107,0.175,0.323,0.135,0.076,16
236,0.109,0.144,0.256,0.182,0.193,0.187,16
237,0.109,0.327,0.399,0.401,0.386,0.367,15
238,0.109,0.378,0.263,0.381,0.479,0.498,20
239,0.109,0.196,0.137,0.096,0.211,0.281,16
240,0.109,0.431,0.18,0.483,0.437,0.367,15
241,0.109,0.193,0.326,0.372,0.482,0.331,13
242,0.109,0.161,0.127,0.181,0.132,0.134,1
243,0.11,0.213,0.582,0.366,0.203,0.163,4
244,0.11,0.264,0.715,0.74,0.642,0.16,43
245,0.11,0.135,0.334,0.24,0.248,0.359,30
246,0.11,0.11,0.844,0.305,0.185,0.126,4
247,0.11,0.67,0.088,0.286,0.373,0.303,46
248,0.11,0.305,0.035,0.121,0.047,0.059,1
249,0.111,0.258,0.429,0.616,0.614,0.538,54
250,0.111,0.349,0.259,0.605,0.435,0.577,20
251,0.111,0.092,0.133,0.143,0.062,0.052,1
252,0.111,0.114,0.476,0.497,0.212,0.241,35
253,0.112,0.188,0.405,0.415,0.292,0.235,35
254,0.112,0.324,0.526,0.383,0.519,0.461,20
255,0.112,0.31,0.43,0.723,0.47,0.473,10
256,0.112,0.114,0.434,0.348,0.385,0.32,13
257,0.112,0.098,0.234,0.32,0.303,0.547,30
258,0.113,0.087,0.096,0.095,0.087,0.067,1
259,0.113,0.12,0.276,0.204,0.155,0.151,16
260,0.113,0.199,0.543,0.429,0.283,0.259,35
261,0.113,0.131,0.198,0.093,0.106,0.101,1
262,0.113,0.153,0.532,0.616,0.574,0.381,10
263,0.113,0.287,0.444,0.444,0.668,0.512,27
264,0.114,0.333,0.561,0.579,0.323,0.279,41
265,0.114,0.309,0.553,0.289,0.591,0.442,53
266,0.114,0.088,0.321,0.345,0.19,0.106,16
267,0.114,0.155,0.403,0.261,0.214,0.148,16
268,0.114,0.659,0.462,0.61,0.564,0.441,33
269,0.114,0.121,0.507,0.371,0.14,0.164,4
270,0.114,0.682,0.571,0.375,0.599,0.753,69
271,0.114,0.1,0.123,0.375,0.151,0.125,16
272,0.115,0.198,0.571,0.476,0.411,0.292,41
273,0.115,0.165,0.16,0.402,0.061,0.164,16
274,0.115,0.096,0.147,0.091,0.128,0.145,1
275,0.115,0.097,0.326,0.389,0.103,0.06,4
276,0.116,0.484,0.137,0.301,0.538,0.599,6
277,0.116,0.17,0.54,0.151,0.245,0.2,4
278,0.116,0.179,0.456,0.614,0.324,0.261,35
279,0.116,0.307,0.245,0.459,0.317,0.334,35
280,0.117,0.323,0.191,0.604,0.404,0.194,21
281,0.117,0.089,0.315,0.151,0.088,0.097,1
282,0.117,0.127,0.285,0.294,0.143,0.113,16
283,0.117,0.126,0.274,0.29,0.22,0.286,16
284,0.117,0.54,0.324,0.414,0.428,0.515,18
285,0.117,0.394,0.558,0.423,0.747,0.49,45
286,0.117,0.204,0.547,0.948,0.536,0.41,10
287,0.117,0.13,0.276,0.396,0.4,0.07,35
288,0.118,0.135,0.393,0.337,0.269,0.19,35
289,0.118,0.261,0.475,0.501,0.385,0.316,15
290,0.118,0.177,0.383,0.427,0.227,0.182,35
291,0.118,0.19,0.125,0.356,0.23,0.159,16
292,0.118,0.101,0.561,0.309,0.192,0.115,4
293,0.119,0.049,0.243,0.283,0.067,0.147,1
294,0.119,0.123,0.363,0.336,0.253,0.281,35
295,0.119,0.176,0.152,0.334,0.509,0.638,6
296,0.119,0.357,0.57,0.47,0.519,0.387,24
297,0.119,0.103,0.133,0.093,0.155,0.123,1
298,0.119,0.17,0.149,0.149,0.25,0.206,16
299,0.119,0.172,0.608,0.623,0.567,0.535,10
300,0.12,0.218,0.249,0.22,0.21,0.282,16
301,0.12,0.23,0.312,0.31,0.415,0.442,13
302,0.12,0.165,0.304,0.589,0.279,0.242,35
303,0.12,0.093,0.128,0.179,0.151,0.141,1
304,0.12,0.35,0.146,0.106,0.392,0.114,16
305,0.12,0.117,0.433,0.675,0.398,0.281,21
306,0.121,0.421,0.102,0.083,0.061,0.068,9
307,0.121,0.186,0.514,0.232,0.281,0.238,4
308,0.121,0.224,0.196,0.252,0.275,0.339,29
309,0.121,0.131,0.241,0.333,0.055,0.116,1
310,0.121,0.133,0.261,0.363,0.5,0.743,6
311,0.121,0.134,0.263,0.326,0.229,0.214,16
312,0.121,0.11,0.249,0.205,0.087,0.11,1
313,0.122,0.126,0.505,0.275,0.36,0.637,30
314,0.122,0.123,0.341,0.089,0.217,0.234,16
315,0.122,0.117,0.776,0.324,0.357,0.426,53
316,0.122,0.105,0.162,0.297,0.161,0.12,16
317,0.122,0.261,0.144,0.24,0.145,0.236,16
318,0.122,0.15,0.168,0.34,0.3,0.408,30
319,0.122,0.179,0.615,0.564,0.764,0.562,27
320,0.123,0.216,0.504,0.463,0.469,0.39,20
321,0.123,0.444,0.808,0.488,0.698,0.711,27
322,0.123,0.421,0.35,0.452,0.634,0.563,5
323,0.123,0.267,0.606,0.493,0.473,0.39,53
324,0.123,0.492,0.613,0.325,0.562,0.55,5
325,0.123,0.151,0.645,0.464,0.301,0.268,67
326,0.123,0.221,0.206,0.33,0.465,0.269,13
327,0.123,0.305,0.555,0.799,0.656,0.464,43
328,0.123,0.115,0.102,0.16,0.143,0.151,1
329,0.123,0.096,0.16,0.386,0.14,0.269,16
330,0.123,0.06,0.064,0.057,0.072,0.061,1
331,0.123,0.346,0.314,0.248,0.447,0.591,6
332,0.123,0.275,0.219,0.286,0.482,0.491,6
333,0.124,0.16,0.554,0.562,0.502,0.358,21
334,0.124,0.166,0.579,0.191,0.109,0.456,30
335,0.124,0.216,0.621,0.652,0.391,0.351,41
336,0.124,0.126,0.352,0.606,0.422,0.189,21
337,0.124,0.118,0.08,0.096,0.112,0.058,1
338,0.125,0.198,0.377,0.624,0.53,0.694,54
339,0.125,0.195,0.409,0.176,0.204,0.326,16
340,0.125,0.252,0.43,0.584,0.619,0.363,42
341,0.125,0.448,0.539,0.444,0.552,0.698,5
342,0.125,0.3,0.455,0.666,0.765,0.749,3
343,0.125,0.599,0.486,0.501,0.761,0.405,45
344,0.125,0.071,0.098,0.268,0.126,0.171,1
345,0.125,0.565,0.398,0.523,0.539,0.429,5
346,0.125,0.114,0.344,0.161,0.104,0.168,1
347,0.125,0.186,0.3,0.247,0.153,0.185,16
348,0.126,0.1,0.242,0.267,0.129,0.128,16
349,0.126,0.335,0.626,0.409,0.586,0.341,53
350,0.126,0.156,0.271,0.521,0.668,0.301,42
351,0.126,0.173,0.527,0.621,0.49,0.495,10
352,0.126,0.284,0.272,0.275,0.229,0.303,29
353,0.127,0.526,0.201,0.467,0.539,0.525,5
354,0.127,0.174,0.137,0.309,0.104,0.147,16
355,0.127,0.126,0.289,0.176,0.143,0.141,16
356,0.127,0.451,0.228,0.467,0.255,0.212,35
357,0.127,0.208,0.687,0.363,0.599,0.37,53
358,0.127,0.408,0.186,0.172,0.145,0.113,9
359,0.127,0.146,0.14,0.103,0.125,0.105,1
360,0.127,0.28,0.548,0.493,0.392,0.365,15
361,0.127,0.128,0.325,0.47,0.327,0.193,35
362,0.128,0.128,0.631,0.523,0.381,0.134,41
363,0.128,0.241,0.643,0.537,0.473,0.407,10
364,0.128,0.23,0.069,0.081,0.104,0.097,1
365,0.128,0.146,0.157,0.298,0.243,0.247,16
366,0.129,0.179,0.956,0.446,0.523,0.364,53
367,0.129,0.539,0.448,0.242,0.417,0.339,46
368,0.129,0.171,0.56,0.412,0.296,0.341,35
369,0.129,0.3,0.412,0.506,0.351,0.471,20
370,0.129,0.122,0.209,0.307,0.157,0.185,16
371,0.129,0.146,0.479,0.417,0.219,0.213,35
372,0.129,0.105,0.118,0.081,0.172,0.274,16
373,0.129,0.061,0.507,0.395,0.119,0.057,4
374,0.129,0.44,0.264,0.537,0.577,0.861,62
375,0.129,0.366,0.75,0.446,0.394,0.465,24
376,0.129,0.233,0.164,0.46,0.356,0.217,35
377,0.129,0.085,0.047,0.13,0.048,0.048,1
378,0.129,0.275,0.55,0.438,0.446,0.398,15
379,0.13,0.161,0.615,0.532,0.363,0.344,41
380,0.13,0.355,0.287,0.756,0.408,0.409,21
381,0.13,0.537,0.275,0.368,0.208,0.211,46
382,0.13,0.121,0.229,0.15,0.184,0.148,16
383,0.13,0.13,0.333,0.487,0.322,0.109,35
384,0.131,0.102,0.259,0.148,0.106,0.098,1
385,0.131,0.521,0.259,0.221,0.628,0.476,11
386,0.131,0.149,0.655,0.597,0.351,0.275,41
387,0.131,0.17,0.355,0.208,0.21,0.163,16
388,0.131,0.397,0.596,0.533,0.661,0.231,42
389,0.132,0.126,0.294,0.414,0.361,0.218,35
390,0.132,0.124,0.1,0.215,0.111,0.071,1
391,0.132,0.299,0.463,0.449,0.39,0.494,20
392,0.132,0.286,0.603,0.701,0.797,0.419,43
393,0.132,0.202,0.645,0.356,0.207,0.364,67
394,0.133,0.161,0.339,0.302,0.126,0.122,16
395,0.133,0.182,0.512,0.608,0.451,0.376,21
396,0.133,0.282,0.511,0.609,0.456,0.231,41
397,0.133,0.2,0.089,0.536,0.236,0.52,30
398,0.133,0.403,0.542,0.687,0.817,0.544,48
399,0.133,0.296,0.194,0.144,0.255,0.296,16
400,0.133,0.491,0.327,0.474,0.374,0.461,50
401,0.134,0.481,0.492,0.597,0.852,0.727,3
402,0.134,0.199,0.177,0.477,0.407,0.718,20
403,0.134,0.235,0.564,0.334,0.444,0.621,20
404,0.134,0.173,0.635,0.513,0.436,0.346,41
405,0.134,0.165,0.393,0.566,0.657,0.611,27
406,0.134,0.153,0.096,0.106,0.107,0.07,1
407,0.134,0.778,0.468,0.406,0.628,0.412,45
408,0.134,0.221,0.427,0.343,0.62,0.568,27
409,0.134,0.547,0.318,0.469,0.452,0.423,50
410,0.134,0.171,0.43,0.346,0.574,0.71,27
411,0.134,0.14,0.356,0.18,0.161,0.123,16
412,0.134,0.479,0.523,0.392,0.584,0.883,62
413,0.134,0.226,0.735,0.612,0.508,0.351,10
414,0.134,0.061,0.132,0.168,0.041,0.073,1
415,0.135,0.103,0.104,0.124,0.093,0.104,1
416,0.135,0.134,0.787,0.631,0.286,0.326,41
417,0.135,0.139,0.302,0.201,0.166,0.138,16
418,0.135,0.095,0.148,0.461,0.347,0.353,13
419,0.135,0.688,0.216,0.328,0.392,0.273,46
420,0.135,0.239,0.424,0.391,0.192,0.298,35
421,0.135,0.256,0.19,0.393,0.426,0.385,13
422,0.135,0.392,0.295,0.464,0.611,0.576,5
423,0.136,0.181,0.399,0.344,0.216,0.107,4
424,0.136,0.196,0.435,0.208,0.365,0.355,13
425,0.136,0.217,0.191,0.1,0.194,0.207,16
426,0.136,0.153,0.645,0.629,0.343,0.518,41
427,0.136,0.324,0.587,0.432,0.569,0.597,27
428,0.136,0.42,0.329,0.546,0.636,0.599,54
429,0.136,0.349,0.25,0.28,0.409,0.322,13
430,0.136,0.135,0.403,0.667,0.321,0.074,35
431,0.137,0.227,0.473,0.687,0.426,0.492,10
432,0.137,0.382,0.02,0.572,0.806,0.555,3
433,0.137,0.226,0.537,0.401,0.481,0.429,53
434,0.137,0.165,0.479,0.429,0.359,0.27,35
435,0.137,0.189,0.296,0.669,0.348,0.26,21
436,0.138,0.639,0.395,0.447,0.629,0.65,69
437,0.138,0.254,0.445,0.755,0.61,0.464,10
438,0.138,0.311,0.134,0.257,0.433,0.613,6
439,0.138,0.102,0.128,0.108,0.095,0.294,1
440,0.138,0.372,0.451,0.627,0.539,0.715,54
441,0.138,0.228,0.475,0.529,0.463,0.318,21
442,0.138,0.364,0.821,0.534,0.533,0.544,25
443,0.138,0.431,0.166,0.326,0.391,0.486,6
444,0.138,0.416,0.329,0.798,0.72,0.586,48
445,0.138,0.065,0.061,0.073,0.08,0.074,1
446,0.138,0.245,0.401,0.575,0.633,0.637,54
447,0.138,0.67,0.636,0.442,0.633,0.24,45
448,0.138,0.174,0.161,0.135,0.171,0.123,1
449,0.139,0.1,0.142,0.091,0.205,0.091,1
450,0.139,0.174,0.242,0.515,0.387,0.234,35
451,0.139,0.059,0.163,0.039,0.038,0.072,1
452,0.139,0.221,0.072,0.378,0.163,0.293,16
453,0.139,0.132,0.523,0.379,0.266,0.344,35
454,0.139,0.202,0.171,0.096,0.301,0.275,16
455,0.139,0.349,0.195,0.206,0.575,0.626,6
456,0.139,0.229,0.135,0.242,0.45,0.172,13
457,0.139,0.177,0.086,0.545,0.275,0.199,35
458,0.139,0.114,0.328,0.212,0.09,0.07,1
459,0.139,0.059,0.253,0.427,0.133,0.411,30
460,0.14,0.085,0.601,0.567,0.61,0.722,27
461,0.14,0.102,0.202,0.355,0.199,0.139,16
462,0.14,0.276,0.36,0.392,0.401,0.314,15
463,0.14,0.207,0.641,0.59,0.509,0.499,10
464,0.14,0.071,0.035,0.167,0.116,0.138,1
465,0.14,0.34,0.289,0.474,0.634,0.5,5
466,0.14,0.198,0.158,0.232,0.248,0.614,30
467,0.14,0.11,0.122,0.157,0.14,0.106,1
468,0.141,0.222,0.386,0.468,0.362,0.379,15
469,0.141,0.14,0.221,0.574,0.155,0.14,35
470,0.141,0.473,0.215,0.567,0.609,0.873,62
471,0.141,0.211,0.244,0.19,0.193,0.203,16
472,0.141,0.097,0.409,0.161,0.075,0.122,1
473,0.141,0.133,0.42,0.379,0.482,0.229,13
474,0.141,0.123,0.381,0.398,0.418,0.383,13
475,0.141,0.134,0.4,0.246,0.229,0.121,16
476,0.141,0.27,0.246,0.182,0.501,0.552,6
477,0.141,0.321,0.504,0.619,0.686,0.559,54
478,0.142,0.082,0.146,0.157,0.085,0.05,1
479,0.142,0.111,0.078,0.166,0.147,0.111,1
480,0.142,0.443,0.192,0.561,0.696,0.626,3
481,0.142,0.289,0.515,0.467,0.649,0.453,42
482,0.142,0.236,0.492,0.65,0.353,0.31,41
483,0.142,0.26,0.105,0.147,0.574,0.191,13
484,0.142,0.086,0.067,0.208,0.333,0.058,16
485,0.142,0.173,0.425,0.564,0.234,0.5,30
486,0.142,0.387,0.113,0.149,0.111,0.167,9
487,0.142,0.286,0.53,0.35,0.438,0.449,20
488,0.142,0.264,0.284,0.257,0.277,0.409,30
489,0.142,0.099,0.578,0.348,0.32,0.518,30
490,0.142,0.517,0.42,0.56,0.626,0.4,45
491,0.142,0.674,0.227,0.491,0.626,0.831,69
492,0.142,0.234,0.503,0.589,0.326,0.451,15
493,0.142,0.121,0.112,0.134,0.11,0.088,1
494,0.142,0.165,0.282,0.333,0.174,0.158,16
495,0.142,0.047,0.654,0.62,0.37,0.262,41
496,0.142,0.118,0.344,0.36,0.136,0.322,16
497,0.142,0.352,0.474,0.553,0.524,0.637,54
498,0.143,0.353,0.297,0.351,0.348,0.128,35
